Episode: 364, Event: goal, Total Score: 12, Epsilon: 0.1613
Episode: 365, Event: hole, Total Score: -39, Epsilon: 0.1605
Episode: 366, Event: hole, Total Score: -53, Epsilon: 0.1597
Episode: 367, Event: hole, Total Score: -35, Epsilon: 0.1589
Episode: 368, Event: hole, Total Score: -67, Epsilon: 0.1581
Episode: 369, Event: hole, Total Score: -81, Epsilon: 0.1573
Episode: 370, Event: hole, Total Score: -108, Epsilon: 0.1565
Episode: 371, Event: hole, Total Score: -38, Epsilon: 0.1557
Episode: 372, Event: hole, Total Score: -31, Epsilon: 0.1549
Episode: 373, Event: goal, Total Score: -54, Epsilon: 0.1542
Episode: 374, Event: hole, Total Score: -29, Epsilon: 0.1534
Episode: 375, Event: hole, Total Score: -45, Epsilon: 0.1526
Episode: 376, Event: hole, Total Score: -34, Epsilon: 0.1519
Episode: 377, Event: hole, Total Score: -33, Epsilon: 0.1511
Episode: 378, Event: hole, Total Score: -77, Epsilon: 0.1504
Episode: 379, Event: hole, Total Score: -59, Epsilon: 0.1496
Episode: 380, Event: hole, Total Score: -35, Epsilon: 0.1489
Episode: 381, Event: hole, Total Score: -33, Epsilon: 0.1481
Episode: 382, Event: hole, Total Score: -87, Epsilon: 0.1474
Episode: 383, Event: goal, Total Score: -54, Epsilon: 0.1466
Episode: 384, Event: hole, Total Score: -119, Epsilon: 0.1459
Episode: 385, Event: hole, Total Score: -61, Epsilon: 0.1452
Episode: 386, Event: goal, Total Score: -72, Epsilon: 0.1444
Episode: 387, Event: hole, Total Score: -27, Epsilon: 0.1437
Episode: 388, Event: hole, Total Score: -51, Epsilon: 0.1430
Episode: 389, Event: hole, Total Score: -36, Epsilon: 0.1423
Episode: 390, Event: hole, Total Score: -65, Epsilon: 0.1416
Episode: 391, Event: hole, Total Score: -31, Epsilon: 0.1409
Episode: 392, Event: hole, Total Score: -267, Epsilon: 0.1402
Episode: 393, Event: goal, Total Score: -6, Epsilon: 0.1395
Episode: 394, Event: hole, Total Score: -73, Epsilon: 0.1388
Episode: 395, Event: goal, Total Score: -14, Epsilon: 0.1381
Episode: 396, Event: goal, Total Score: -64, Epsilon: 0.1374
Episode: 397, Event: hole, Total Score: -29, Epsilon: 0.1367
Episode: 398, Event: goal, Total Score: -30, Epsilon: 0.1360
Episode: 399, Event: hole, Total Score: -64, Epsilon: 0.1353
Episode: 400, Event: hole, Total Score: -88, Epsilon: 0.1347
Episode: 401, Event: hole, Total Score: -47, Epsilon: 0.1340
Episode: 402, Event: hole, Total Score: -48, Epsilon: 0.1333
Episode: 403, Event: goal, Total Score: -38, Epsilon: 0.1326
Episode: 404, Event: hole, Total Score: -43, Epsilon: 0.1320
Episode: 405, Event: hole, Total Score: -137, Epsilon: 0.1313
Episode: 406, Event: hole, Total Score: -34, Epsilon: 0.1307
Episode: 407, Event: hole, Total Score: -44, Epsilon: 0.1300
Episode: 408, Event: hole, Total Score: -56, Epsilon: 0.1294
Episode: 409, Event: hole, Total Score: -51, Epsilon: 0.1287
Episode: 410, Event: goal, Total Score: 12, Epsilon: 0.1281
Episode: 411, Event: goal, Total Score: -10, Epsilon: 0.1274
Episode: 412, Event: hole, Total Score: -85, Epsilon: 0.1268
