Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 99, Global Episode: 3142, Event: hole, Total Score: -48, Turns: 0, Turn Penalty: -3, Epsilon: 0.6088
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 100, Global Episode: 3143, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.6058
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 101, Global Episode: 3144, Event: hole, Total Score: -44, Turns: 0, Turn Penalty: -3, Epsilon: 0.6027
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 102, Global Episode: 3145, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.5997
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 103, Global Episode: 3146, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.5967
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 104, Global Episode: 3147, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.5937
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 105, Global Episode: 3148, Event: hole, Total Score: -54, Turns: 0, Turn Penalty: 0, Epsilon: 0.5908
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 106, Global Episode: 3149, Event: hole, Total Score: -52, Turns: 0, Turn Penalty: -3, Epsilon: 0.5878
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 107, Global Episode: 3150, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.5849
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 108, Global Episode: 3151, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.5820
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 109, Global Episode: 3152, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.5790
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 110, Global Episode: 3153, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.5762
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 111, Global Episode: 3154, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.5733
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 112, Global Episode: 3155, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: 0, Epsilon: 0.5704
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 113, Global Episode: 3156, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: 0, Epsilon: 0.5676
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 114, Global Episode: 3157, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.5647
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 115, Global Episode: 3158, Event: hole, Total Score: -50, Turns: 0, Turn Penalty: -3, Epsilon: 0.5619
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 116, Global Episode: 3159, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.5591
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 117, Global Episode: 3160, Event: hole, Total Score: -48, Turns: 0, Turn Penalty: 0, Epsilon: 0.5563
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 118, Global Episode: 3161, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.5535
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 119, Global Episode: 3162, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.5507
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 120, Global Episode: 3163, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: 0, Epsilon: 0.5480
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 121, Global Episode: 3164, Event: hole, Total Score: -48, Turns: 0, Turn Penalty: -3, Epsilon: 0.5452
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 122, Global Episode: 3165, Event: hole, Total Score: -39, Turns: 0, Turn Penalty: 0, Epsilon: 0.5425
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 123, Global Episode: 3166, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: -3, Epsilon: 0.5398
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 124, Global Episode: 3167, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: 0, Epsilon: 0.5371
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 125, Global Episode: 3168, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: 0, Epsilon: 0.5344
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 126, Global Episode: 3169, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.5318
